id,title,category,department,rows,columns,headers,updated_at
10,Patents 2024,,,348,8,S. No. | Name | Department | Topic | Date of Publication | Application No. | Status | Document,2026-01-10T07:15:16.971029Z
100,Research papers,Research,,1189,9,"S. No. | Title of paper | Name of the author/s | Department of the teacher | Name of journal | Year of publication | ISSN number | Link to the recognition in UGC enlistment of the Journal | Is it listed in
 UGC Care
 list/Scopus/Web of Science /Others",2026-06-24T17:27:11.076916Z
101,Research papers 2023-24,Research,,1153,9,"S. No. | Title of paper | Name of the author/s | Department of the teacher | Name of journal | Year of publication | ISSN number | Link to the recognition in UGC enlistment of the Journal | Is it listed in
 UGC Care
 list/Scopus/Web of Science /Others",2026-06-24T17:26:52.309544Z
102,Research Papers -2022-23,Research,,1300,9,"S. No. | Title of paper | Name of the author/s | Department of the teacher | Name of journal | Year of publication | ISSN number | Link to the recognition in UGC enlistment of the Journal | Is it listed in
 UGC Care
 list/Scopus/Web of Science /Others",2026-06-23T17:26:29.947344Z
103,Research paper- 2021-22,Research,,873,9,"S. No. | Title of paper | Name of the author/s | Department of the teacher | Name of journal | Year of publication | ISSN number | Link to the recognition in UGC enlistment of the Journal | Is it listed in
 UGC Care
 list/Scopus/Web of Science /Others",2026-06-24T17:23:33.081292Z
104,Research Papers-2020-21,Research,,66,9,"S. No. | Title of paper | Name of the author/s | Department of the teacher | Name of journal | Year of publication | ISSN number | Link to the recognition in UGC enlistment of the Journal | Is it listed in
 UGC Care
 list/Scopus/Web of Science /Other",2026-06-24T17:21:48.430911Z
105,Research papers-19-20,Research,,90,9,"S. No. | Title of paper | Name of the author/s | Department of the teacher | Name of journal | Year of publication | ISSN number | Link to the recognition in UGC enlistment of the Journal | Is it listed in
 UGC Care
 list/Scopus/Web of Science /Others",2026-06-24T17:20:18.125576Z
106,research papers-18-19,Research,,31,9,"S. No. | Title of paper | Name of the author/s | Department of the teacher | Name of journal | Year of publication | ISSN number | Link to the recognition in UGC enlistment of the Journal | Is it listed in
 UGC Care
 list/Scopus/Web of Science /Others",2026-06-24T17:20:00.314298Z
11,Patents 2023,Patents,,83,8,S. No. | Name | Department | Topic | Date of Publication | Application No. | Status | Document,2026-01-10T07:16:22.224230Z
12,Patents 2022,Patents,,44,8,S. No. | Name | Department | Topic | Date of Publication | Application Number | Status | Document,2026-01-10T07:17:17.052080Z
13,Patents 2021,Patents,,44,8,S. No. | Name | Department | Topic | Date of Publication | Application Number | Status | Document,2026-01-10T07:17:37.279490Z
14,ipr-events-24-25,,,28,5,S. No. | Name of the Workshop/Seminar | No. of Participant | Date | Year,2026-01-10T09:58:03.256111Z
15,ipr-events-23-24,,,32,5,S. No. | Name of the Workshop/Seminar | No. of Participant | Date | Year,2026-01-10T09:59:14.110346Z
16,ipr-events-22-23,,,28,5,S. No. | Name of the Workshop/Seminar | No. of Participant | Date | Year,2026-03-09T10:14:45.993093Z
17,ipr-events-21-22,,,23,5,S. No. | Name of the workshop/ seminar | Number of Participants | Date | Year,2026-01-10T10:00:49.783020Z
18,ipr-events-20-21,,,11,5,S. No. | Name of the workshop/ seminar | Number of Participants | Date | Year,2026-01-10T10:01:35.652713Z
19,ipr-events-19-20,,,16,5,S. No. | Name of the workshop/ seminar | Number of Participants | Date | Year,2026-01-10T10:02:03.293857Z
20,ipr-events-18-19,,,31,4,S. No. | Professional Development Programs For Teaching & Non Teaching Staff | Date | Year,2026-01-10T10:02:29.624264Z
21,ipr-events-17-18,,,33,4,S. No. | Professional Development Programs For Teaching & Non Teaching Staff. | Date | Year,2026-01-10T10:03:01.399748Z
22,ipr-events-16-17,,,44,4,S. No. | Professional Development Programs For Teaching & Non Teaching Staff | Date | Year,2026-01-10T10:03:29.168231Z
23,ipr-events-15-16,,,29,4,S. No. | Professional Development Programs For Teaching & Non Teaching Staff | Date | Year,2026-01-10T10:04:17.631002Z
24,ipr-events-14-15,,,48,4,S. No. | Professional Development Programs For Teaching & Non Teaching Staff | Date | Year,2026-01-10T10:04:50.974731Z
25,ipr-events-13-14,,,33,4,S. No. | Professional Development Programs For Teaching & Non Teaching Staff | Date | Year,2026-01-10T10:05:25.789971Z
26,Conferences,,,30,6,S. No. | Faculty | Name of The Conference | National/ International | Date | Year,2026-01-10T10:30:59.149875Z
27,book-chapter-25-26,,,156,12,S. No. | Name of the teacher | Department | Title of the book/chapters published | Title of the paper | Title of the proceedings of the conference | Name of the conference | National / International | Year of publication | ISBN/ISSN number of the proceeding | Affiliating Institute at the time of publication | Name of the publisher,2026-01-10T10:39:44.746159Z
28,book-chapter-24-25,,,898,12,S. No. | Name of the teacher | Department | Title of the book/chapters published | Title of the paper | Title of the proceedings of the conference | Name of the conference | National / International | Year of publication | ISBN/ISSN number of the proceeding | Affiliating Institute at the time of publication | Name of the publisher,2026-01-10T10:41:57.364904Z
29,book-chapter-23-24,,,761,12,S. No. | Name of the teacher | Department | Title of the book/chapters published | Title of the paper | Title of the proceedings of the conference | Name of the conference | National / International | Year of publication | ISBN/ISSN number of the proceeding | Affiliating Institute at the time of publication | Name of the publisher,2026-01-10T10:42:37.780602Z
30,book-chapter-19-20,,,90,9,"S. No. | Title of paper | Name of the author/s | Department of the teacher | Name of journal | Year of publication | ISSN number | Link to the recognition in UGC enlistment of the Journal | Is it listed in
 UGC Care
 list/Scopus/Web of Science /other, mention",2026-01-10T11:14:49.903238Z
31,book-chapter-21-22,,,171,12,"S. No. | Name of the teacher | Department | Title of the book/chapters published | Title of the paper | Title of the proceedings of the conference | Name of the conference | National / 
 International | Year of publication | ISBN/ISSN number of the proceeding | Affiliating 
 Institute at the time of publication | Name of the publisher",2026-01-10T10:44:12.969405Z
32,book-chapter-20-21,,,155,12,"S. No. | Name of the teacher | Department | Title of the book/chapters published | Title of the paper | Title of the proceedings of the conference | Name of the conference | National / International | Year of publication | ISBN/ISSN number of the proceeding | Affiliating 
 Institute at the time of publication | Name of the publisher",2026-01-10T10:44:53.701355Z
33,book-chapter-19-20,,,138,12,"S. No. | Name of the teacher | Department | Title of the book/chapters published | Title of the paper | Title of the proceedings of the conference | Name of the conference | National / International | Year of publication | ISBN/ISSN number of the proceeding | Affiliating 
 Institute at the time of publication | Name of the publisher",2026-01-10T10:45:35.472301Z
