source_table,Year of Signing the MoU,Name of the Organisation with whom the MoU/Collaboration is Being Signed,Duration,Purpose of MoU/Collaboration,List the Actual Activities under each MoU Year-wise,Year of the Activity Conducted,col7,col8
Active MoU,1,20.09.2022,20.09.2027,GOVT. J. YOGANANDAM CHHATTISGARH COLLEGE,RAIPUR - CHHATTISGARH,INDIA,INSTITUTION,Faculty of Arts & Humanities
Active MoU,2,26.04.2023,26.04.2028,GOVT. M.V.P.G. COLLEGE,MAHASAMUND - CHHATTISGARH,INDIA,INSTITUTION,Faculty of Arts & Humanities
Active MoU,3,29.04.2023,29.04.2028,GOVT DUDHADHARI BAJRANG GIRLS POST GRADUATE AUTONOMOUS COLLEGE,RAIPUR - CHHATTISGARH,INDIA,INSTITUTION,Faculty of Arts & Humanities
Active MoU,4,09.10.2023,09.10.2025,VY HOSPITAL,RAIPUR - CHHATTISGARH,INDIA,STAFF WELFARE,Faculty of Arts & Humanities
Active MoU,5,16.10.2023,16.10.2025,BALCO MEDICAL CENTRE (A UNIT OF VEDANTA MEDICAL RESEARCH CENTRE),RAIPUR - CHHATTISGARH,INDIA,STAFF WELFARE,Faculty of Arts & Humanities
Active MoU,6,07.02.2025,07.02.2030,GOVT. SHAHID VEER NARAYAN SINGH COLLEGE,SARABGARH - BILAIGARH - CHHATTISGARH,INDIA,INSTITUTION,Faculty of Arts & Humanities
Active MoU,7,03.03.2025,03.03.2030,ASSOCIATION OF MULTI SKILLED PROFESSIONALS,BHILAI - CHHATTISGARH,INDIA,ACADEMIC,Faculty of Arts & Humanities
Active MoU,8,15.08.2024,15.08.2029,HIDAYATULLAH NATIONAL LAW UNIVERSITY (HNLU),RAIPUR - CHHATTISGARH,INDIA,INSTITUTION,Faculty of Arts & Humanities
Active MoU,9,05.09.2024,05.09.2029,GOVT. RAJMOHINI DEVI GIRLS' P.G. COLLEGE,"AMBIKAPUR, CHHATTISGARH",INDIA,INSTITUTION,Faculty of Arts & Humanities
Active MoU,10,25.10.2024,08.11.2029,GOVT. D.S.V. POST GRADUATE SANSKRIT COLLEGE,RAIPUR - CHHATTISGARH,INDIA,INSTITUTION,Faculty of Arts & Humanities
Active MoU,11,22.11.2024,22.11.2029,CIT BED COLLEGE,RAIPUR - CHHATTISGARH,INDIA,INSTITUTION,Faculty of Arts & Humanities
