date,heading,category,department,url,summary,reading_time
"23 Nov, 2026",<p><strong>IDEATHON 6.0</strong></p>,Upcoming Events,Faculty of Commerce and Management,https://kalingauniversity.ac.in/news-and-events/ideathon-6-0,"The Faculty of Commerce and Management is organizing IDEATHON 6.0 - A Business Plan Competition 2026 for Category A – School Students (Classes IX–XII) and Category B – College/University Students (UG, PG & Research Scholars).",1
"23 May, 2026",<p>Toppers Felicitation Ceremony 5.0</p>,Events,,https://kalingauniversity.ac.in/news-and-events/toppers-felicitation-ceremony,"Kalinga University, Naya Raipur, is organising the “Toppers Felicitation Ceremony 5.0” on 23 May 2026 to honour outstanding Class 12 CGBSE students, including CG Top 10 Rankers and students scoring 80% and above.",2
"08 Dec, 2025",Aarambh-2025 – Induction Program for B.Ed Students,Events,Faculty of Education,https://kalingauniversity.ac.in/news-and-events/aarambh-2025-induction-program-for-bed-students,Our Faculty of Education welcomed newly enrolled students of the Bachelor of Education at Aarambh-2025 – Induction Program.,1
"28 Nov, 2025",One-Day Workshop,Events,,https://kalingauniversity.ac.in/news-and-events/one-day-workshop,"The Central Library and Research Department of Kalinga University, in collaboration with Elsevier, organised a one-day workshop held in two different sessions.",1
"26 Nov, 2025",Legal Aid Cell Commemorates the 76th Year of the Indian Constitution,Events,Faculty of Law,https://kalingauniversity.ac.in/news-and-events/legal-aid-cell-commemorates-the-76th-year-of-the-indian-constitution,"To honour the spirit and values of the Indian Constitution, we celebrated the 76th Year of the Indian Constitution, which highlighted, i.e., justice, equality, liberty, and dignity.",1
"20 Nov, 2025",Kalinga University Unveils the ‘Dr. Yashwant Singh Parmar Legacy’ Special Collection,Events,,https://kalingauniversity.ac.in/news-and-events/kalinga-university-unveils-the-dr-yashwant-singh-parmar-legacy-special-collection,"With an aim to strengthen legal education, the Central Library of Kalinga University conducted the inauguration of the “Dr. Yashwant Singh Parmar Legacy”.",1
"20 Nov, 2025",Global Conference 2025,Events,Faculty of Law,https://kalingauniversity.ac.in/news-and-events/global-conference,The Global Conference featured four technical sessions with eminent speakers and over 20 participants in each session.,1
"19 Nov, 2025",Guest Lecture on IPR for Innovators and Entrepreneurs,Events,Faculty of Science,https://kalingauniversity.ac.in/news-and-events/guest-lecture-on-ipr-for-innovators-and-entrepreneurs,"To address the importance of IPR in innovation and research to young scientists and entrepreneurs, an impactful guest lecture was organised by the Faculty of Science.",1
"18 Nov, 2025",International Conference SCISUSTAIN 2025,Events,Faculty of Science,https://kalingauniversity.ac.in/news-and-events/international-conference-scisustain-2025,"The Faculty of Computer Science and Information Technology organised a two-day international conference, which saw an active participation of speakers and researchers from India and abroad.",1
"06 Nov, 2025",Blood Donation Camp 2025,Events,Faculty of Pharmacy,https://kalingauniversity.ac.in/news-and-events/blood-donation-camp-2025,"In collaboration with the Good Hope Blood Centre, our Pharma club successfully organised a Blood Donation Camp aligned with the United Nations Sustainable Development Goals (UN SDG).",1
"30 Oct, 2025",International Conference (ICSTDTSD 2025),Events,Faculty of Information Technology,https://kalingauniversity.ac.in/news-and-events/international-conference,"The Faculty of Computer Science and Information Technology organised a two-day international conference, which saw an active participation of speakers and researchers from India and abroad.",1
"25 Sep, 2025",World Pharmacists’ Day Celebration,Events,Faculty of Pharmacy,https://kalingauniversity.ac.in/news-and-events/world-pharmacists-day-celebration,"We celebrated World Pharmacists Day, recognising its important role in healthcare and treatment of diseases.",1
"24 Sep, 2025",World Ozone Day 2025,Events,Faculty of Science,https://kalingauniversity.ac.in/news-and-events/world-ozone-day-2025,"To spread awareness about the importance of protecting the ozone layer, the Green Club and Department of Zoology organised a painting competition on World Ozone Day for students.",1
"18 Sep, 2025",Grand Book Fair 2025,Events,,https://kalingauniversity.ac.in/news-and-events/grand-book-fair-2025,Our Central Library organised a two-day book Fair as part of the instructions received from the Department of Higher Education to organise special programs in celebration of the 25 years of Chhattisgarh Statehood.,1
"03 Sep, 2025",National Seminar on Waste Optimization and Sustainable Practices,Events,Faculty of Science,https://kalingauniversity.ac.in/news-and-events/national-seminar-on-waste-optimization-and-sustainable-practices,The three-day National Seminar inspired participants to adopt sustainable practices for a cleaner and greener future and even promoted cross-cultural collaboration.,1
"28 Aug, 2025",Role of Microorganisms in Plants and Human Health,Events,Faculty of Science,https://kalingauniversity.ac.in/news-and-events/role-of-microorganisms-in-plants-and-human-health,"The session highlighted the impact of microorganisms on human health and the use of techniques like prebiotics, probiotics, biotechnological applications, antibiotic resistance, natural remedies, and more.",1
