source_table,Sr. No,Name,Topic,Date of Publication,Application Number,Status,col7,col8
Patents 2024,1,Dr. Praveen kumar Yadav,Faculty of Engineering,ELECTRONIC NMR SPECTROSCOPY DEVICE FOR CHARACTERIZING NATURAL EXTRACTS,30.12.2024,6410113,Grant Design,
Patents 2024,2,"Mr. Ashutosh Pandey
 Dr. Akshit Lamba",Faculty of Engineering,SYSTEM AND METHOD FOR STRUCTURAL HEALTH MONITORING OF CIVIL ENGINEERING INFRASTRUCTURE,27.12.2024,202421082540,Published,
Patents 2024,3,Mr. Smruti Ranjan Dash,Faculty of Pharmacy,FORMULATION DESIGN OF RAMIPRIL TRILAYED SUSTAINED RELEASE TABLETS,13.12.2024,202431088333,Published,
Patents 2024,4,"Mr. Omprakash Dewangan
 Dr. Anupa Sinha
 Ms. Ashu Nayak
 Ms. Chandani Sawlani 
 Ms. Roohee Khan 
 Ms. Anjali Goswami 
 Mr. Adil Raja",Faculty of CS & IT,REAL-TIME EMERGENCY RESPONSE DEVICE,05.12.2024,431393-001,Grant Design,
Patents 2024,5,Dr. Jyotsna Dwivedi,Faculty of Commerce & Management,UNVEILING THE DYNAMIC INTERPLAY OF SOCIAL MEDIA’S INFLUENCE ON SOCIAL ENTREPRENEURSHIP,29.11.2024,202421083430,Published,
Patents 2024,6,"""Mr. Sachin Pradhan
Mr. Birendra Kumar Sahu""",Faculty of Pharmacy,BLOCKCHAIN-BASED METHOD FOR SECURE CLINICAL TRIAL DATA MANAGEMENT,15.11.2024,202421076028,Published,View
Patents 2024,7,"""Mr. Beyant Singh
Mr. Akash Patel""",Faculty of Pharmacy,AI-POWERED PHARMACOVIGILANCE TOOL FOR DETECTING POST-MARKET DRUG SAFETY SIGNALS,15.11.2024,202421076030,Published,View
Patents 2024,8,"""Ms. Lumita Sahu
Ms. Priya Shrivastav""",Faculty of Pharmacy,AUTOMATED PATIENT RECRUITMENT METHOD FOR CLINICAL TRIALS USING AI,15.11.2024,202421076031,Published,View
Patents 2024,9,"""Ms. Tripti Gupta
Mr. Dharamveer Singh """,Faculty of Pharmacy,BLOCKCHAIN-ENABLED METHOD FOR ENSURING INTEGRITY IN CLINICAL TRIAL DATA,15.11.2024,202421076032,Published,View
Patents 2024,10,"""Ms. Pinki Nayak
Ms. Ipsity Padhey""",Faculty of Pharmacy,REAL-TIME PHARMACOVIGILANCE MONITORING PLATFORM USING BIG DATA ANALYTICS,15.11.2024,202421076033,Published,View
Patents 2024,11,"""Ms. Shruti Singh
Dr. Anita Samal""",Faculty of Arts & Humanities,"A SYSTEM FOR INTEGRATING FEMINIST PERSPECTIVES IN WESTERN POLITICAL PHILOSOPHY: A CRITICAL REEXAMINATION OF POWER, JUSTICE, AND EQUALITY",15.11.2024,202421076048,Published,View
Patents 2024,12,Mrs. L Jyothi Reddy,Faculty of Arts & Humanities,A SYSTEM FOR INTEGRATIVE FRAMEWORK FOR EDUCATIONAL AND CLINICAL PSYCHOLOGY IN PERSONALIZED GUIDANCE AND COUNSELING PRACTICES,15.11.2024,202421076049,Published,View
Patents 2024,13,"""Ms. Sonal Singh
Dr. Shilpi Bhattacharya""",Faculty of Arts & Humanities,A SYSTEM FOR CULTURAL IDENTITY AND MODERNIZATION: EXPLORING THEMES OF TRADITION AND CHANGE IN CONTEMPORARY SOUTH KOREAN LITERATURE,15.11.2024,202421076050,Published,View
Patents 2024,14,Dr. Esha Chatterjee,Faculty of Arts & Humanities,A SYSTEM FOR FEMINIST APPROACHES TO MEDIA REPRESENTATION: A QUALITATIVE ANALYSIS OF GENDER DYNAMICS IN SCIENCE AND TECHNOLOGY DISCOURSES,15.11.2024,202421076051,Published,View
Patents 2024,15,Dr. Abhishek Agrawal,Faculty of Arts & Humanities,A SYSTEM FOR SOCIO-ECONOMIC TRANSFORMATION IN MODERN INDIA: ANALYZING HISTORICAL MILESTONES AND DEVELOPMENTAL PARADIGMS,15.11.2024,202421076052,Published,View
Patents 2024,16,"""Mr. Anil Kumar Banjare
Ms. Ayesha Bano Khan""",Faculty of Pharmacy,SMART WEARABLE DEVICE FOR REAL-TIME MEDICATION MONITORING AND REMINDERS,15.11.2024,202421078032,Published,View
Patents 2024,17,"""Ms. Ayesha Bano khan
Mr. Anil Kumar Banjare""",Faculty of Pharmacy,AI-DRIVEN METHOD FOR OPTIMIZING PHARMACEUTICAL MANUFACTURING PROCESSES,15.11.2024,202421076500,Published,View
Patents 2024,18,"""Mr. Ayush Jain
Mr. Akash Patel""",Faculty of Pharmacy,AI-POWERED METHOD FOR PREDICTING EQUIPMENT FAILURE IN DRUG MANUFACTURING,15.11.2024,202421076501,Published,View
Patents 2024,19,"""Ms. Priyanka Gupta
Dr. Shilpi Shrivastava""",Faculty of Science,A NANOPARTICLE-BASED PHYTOCHEMICAL EXTRACTION SYSTEM FOR ENVIRONMENTAL POLLUTANT DETECTION AND REMEDIATION,15.11.2024,202421078019,Published,View
Patents 2024,20,"""Mrs. Sarvaree Bano
Ms. Priyanka Gupta""",Faculty of Science,A METHOD FOR FABRICATING NANOPLATE-BASED THERMOELECTRIC MATERIALS FOR ENHANCED ENERGY CONVERSION EFFICIENCY,15.11.2024,202421078020,Published,View
Patents 2024,21,"""Dr. Amit Joshi
Mrs. Jharna Maiti""",Faculty of Science,A COMPUTATIONAL SYSTEM FOR PREDICTIVE ANALYSIS OF IMMUNE RESPONSES USING BIOTECHNOLOGICAL DATA FOR PERSONALIZED HEALTHCARE APPLICATIONS,15.11.2024,202421078021,Published,View
Patents 2024,22,"""Mr. Pranjul Srivastava
Mr. Naimish Nanda""",Faculty of Pharmacy,AUTOMATED QUALITY CONTROL METHOD FOR CONTINUOUS PHARMACEUTICAL MANUFACTURING,15.11.2024,202421076502,Published,View
Patents 2024,23,"""Dr. Sandip Prasad Tiwari
Dr. Ashok Kumar""",Faculty of Pharmacy,BLOCKCHAIN-BASED SUPPLY CHAIN MANAGEMENT METHOD FOR PHARMACEUTICAL PRODUCTS,15.11.2024,202421076503,Published,View
Patents 2024,24,"""Ms. Rashmi Sinha
Ms. Prerna Sahu""",Faculty of Pharmacy,AI-POWERED PROCESS CONTROL METHOD FOR SCALING BIOPHARMACEUTICAL PRODUCTION,15.11.2024,202421076854,Published,View
Patents 2024,25,"""Ms. Khushboo Gupta
Dr. Rupali Bharti Sao""",Faculty of Pharmacy,A METHOD FOR BLOCKCHAIN-ENABLED PHARMACEUTICAL SUPPLY CHAIN TRANSPARENCY,15.11.2024,202421076855,Published,View
Patents 2024,26,"""Ms. Nikita Sharma
Mr. Nikhil Van She""",Faculty of Pharmacy,MACHINE LEARNING-BASED METHOD FOR REAL-TIME MONITORING OF DRUG MANUFACTURING,15.11.2024,202421076856,Published,View
Patents 2024,27,"""Ms. Ipsity Padhye
Ms. Pinki Nayak""",Faculty of Pharmacy,A BLOCKCHAIN-ENABLED METHOD FOR SECURE DRUG TEST RESULT MANAGEMENT,15.11.2024,202421078022,Published,View
Patents 2024,28,"""Ms. Prerna Sahu
Mr. Mrityunjaya Bhanja""",Faculty of Pharmacy,CRISPR-BASED METHOD FOR DEVELOPING CUSTOM PHARMACEUTICAL THERAPIES,15.11.2024,202421078023,Published,View
Patents 2024,29,"""Dr. Yogesh Vaishnaw
Mrs. Tuhina Choubey""",Faculty of Arts & Humanities,A DYNAMIC CONTENT DISTRIBUTION SYSTEM AND METHOD FOR MULTI-PLATFORM ELECTRONIC MEDIA NETWORKS,15.11.2024,202421078024,Published,View
Patents 2024,30,"""Mr. Aman Agrawal
Mr. Bhuneshwar Sahu""",Faculty of Pharmacy,AI-POWERED METHOD FOR MANAGING MULTI-SITE CLINICAL TRIALS,15.11.2024,202421076967,Published,View
Patents 2024,31,"""Dr. Rupali Bharti Sao
Ms. Khushboo Gupta""",Faculty of Pharmacy,3D PRINTING METHOD FOR ON-DEMAND PHARMACEUTICAL MANUFACTURING,15.11.2024,202421078025,Published,View
Patents 2024,32,"""Mr. Peman Sinha
Ms. Anjali Rajput""",Faculty of Pharmacy,BLOCKCHAIN-BASED DIGITAL PRESCRIPTION AND DRUG DISPENSING METHOD,15.11.2024,202421078026,Published,View
Patents 2024,33,"""Mr. Bhuneshwar Sahu
Mr. Aman Agarwal""",Faculty of Pharmacy,DIGITAL THERAPEUTICS METHOD FOR ENHANCING DRUG ADHERENCE IN CHRONIC CONDITIONS,15.11.2024,202421078027,Published,View
Patents 2024,34,"""Mr. Dharamveer Singh
Ms. Tripti Gupta""",Faculty of Pharmacy,AI-DRIVEN DIAGNOSTIC TOOL FOR IDENTIFYING PATHOGENS AND DRUG RESISTANCE,15.11.2024,202421078028,Published,View
Patents 2024,35,"""Ms. Anjali Rajput
Mr. Peman Sinha""",Faculty of Pharmacy,AI-POWERED SMART PILL BOTTLE FOR MONITORING MEDICATION ADHERENCE,15.11.2024,202421078029,Published,View
Patents 2024,36,"""Mr. Nikhil Van She
Ms. Nikita Sharma""",Faculty of Pharmacy,MACHINE LEARNING-DRIVEN METHOD FOR PREDICTING PATIENT MEDICATION ADHERENCE,15.11.2024,202421078030,Published,View
Patents 2024,37,"""Mr. Akash Patel
Mr. Ayush Jain""",Faculty of Pharmacy,AI-POWERED APP FOR TRACKING AND OPTIMIZING MEDICATION COMPLIANCE,15.11.2024,202421078031,Published,View
Patents 2024,38,Dr. Sanyogita Sahi,Faculty of Science,SMART DRUG MICRODOSING DEVICE,14.11.2024,431203-001,Grant Design,View
Patents 2024,39,"""Mr. Mrutyunjaya Bhanja
Mr. Smruti Ranjan Dash""",Faculty of Pharmacy,A METHOD FOR GENERATING TAILORED MEDICATION PLANS USING A CLOUD-BASED PHARMACOGENOMICS PLATFORM,08.11.2024,202421073142,Published,View
Patents 2024,40,"""Mr. Aman
Ms. Pranjali Verma""",Faculty of Pharmacy,A METHOD FOR SIMULATING DRUG RESPONSE USING A DIGITAL TWIN SYSTEM BASED ON GENOMIC DATA,08.11.2024,202421073143,Published,View
Patents 2024,41,"""Ms. Monika Barsagade
Mr. Yogendra Sahu""",Faculty of Pharmacy,A METHOD FOR PERSONALIZED DRUG PRESCRIPTION USING ARTIFICIAL INTELLIGENCE AND GENETIC SCREENING,08.11.2024,202421073144,Published,View
Patents 2024,42,"""Dr. Tarun Pal
Mr. Jitendra Kumar Sinha""",Faculty of Pharmacy,A MACHINE LEARNING METHOD FOR PREDICTING DRUG-DRUG INTERACTIONS,08.11.2024,202421070398,Published,View
Patents 2024,43,"""Ms. Lokeshwari Sahu
Ms. Akanksha Dubey""",Faculty of Pharmacy,A METHOD FOR PREDICTING PHARMACEUTICAL STABILITY USING A DEEP LEARNING SYSTEM,08.11.2024,202421074944,Published,View
Patents 2024,44,"""Mrs. Darshi Sharma
Ms. Srishti Shrivastava""",Faculty of Law,A SYSTEM FOR AI-DRIVEN TOOL FOR REAL-TIME MONITORING AND REPORTING OF HUMAN RIGHTS VIOLATIONS,08.11.2024,202421074945,Published,View
Patents 2024,45,"""Dr. Rajnish Rai
Dr. Ankita Nihalani""",Faculty of Commerce & Management,AN AUTONOMOUS VEHICLE NAVIGATION SYSTEM WITH REAL-TIME OBSTACLE DETECTION AND ADAPTIVE ROUTE OPTIMIZATION,08.11.2024,202421075437,Published,View
Patents 2024,46,"""Dr. A. Vijayanand
Dr. Papri Mukhopadhyay""",Faculty of Arts & Humanities,"A SYSTEM FOR SENSORY AND COMIC DYNAMICS IN CLASSICAL AND TECHNICAL NARRATIVES: A STUDY OF AUDIENCE ENGAGEMENT, IMAGERY, AND COMMUNICATION MECHANISMS",08.11.2024,202421075438,Published,View
Patents 2024,47,"""Dr. Vineeta Diwan
Dr. Shilpi Bhattacharya""",Faculty of Arts & Humanities,"A SYSTEM FOR RECONSTRUCTING NARRATIVES: INTERPLAY OF MYTH, HISTORIOGRAPHY, AND CULTURAL MEMORY IN POST-WAR LITERATURE",08.11.2024,202421075439,Published,View
Patents 2024,48,"""Dr. Papri Mukhopadhyay
Dr. A. Vijayanand""",Faculty of Arts & Humanities,A SYSTEM FOR BLOCKCHAIN-DRIVEN PLATFORM FOR MONITORING GENDER-NEUTRAL LEGAL RIGHTS AND COMPLIANCE,08.11.2024,202421074946,Published,View
Patents 2024,49,"""Ms. Pranjali Verma
Mr. Aman""",Faculty of Pharmacy,A COMPUTER-IMPLEMENTED METHOD FOR PREDICTING TOXICITY IN DRUG CANDIDATES,08.11.2024,202421074947,Published,View
Patents 2024,50,"""Mr. Krishna Kumar Sahu
Dr. Chetan Kumar""",Faculty of Pharmacy,A METHOD FOR IDENTIFYING NOVEL ANTIBIOTIC COMPOUNDS USING ARTIFICIAL INTELLIGENCE,08.11.2024,202421074948,Published,View
Patents 2024,51,"""Dr. Satvik Jain
Ms. Shivangi Makade""",Faculty of Commerce & Management,A SYSTEM FOR BLOCKCHAIN-BASED EMPLOYEE CREDENTIAL VERIFICATION AND PERFORMANCE MANAGEMENT PLATFORM,08.11.2024,202421075440,Published,View
Patents 2024,52,"""Dr. Ankita Nihalani
Dr. Rajnish Rai""",Faculty of Commerce & Management,AN AI-DRIVEN TALENT ACQUISITION AND WORKFORCE OPTIMIZATION SYSTEM,08.11.2024,202421075441,Published,View
Patents 2024,53,"""Mr. Nitish Kumar
Dr. Moniza Nurez khan""",Faculty of Pharmacy,AI-DRIVEN PLATFORM FOR VIRTUAL CLINICAL TRIALS,08.11.2024,202421074949,Published,View
Patents 2024,54,"""Mrs. Saloni Tyagi
Ms. Harleen Kaur""",Faculty of Law,AN AI-POWERED SYSTEM FOR LEGAL REVIEW AND ANALYSIS OF CONSTITUTIONAL LAW AMENDMENTS,08.11.2024,202421074950,Published,View
Patents 2024,55,"""Mr. Mahendra Kumar
Mr. Ashish Ranjan""",Faculty of Pharmacy,A COMPUTER-IMPLEMENTED METHOD FOR PREDICTING DRUG MANUFACTURING QUALITY CONTROL OUTCOMES USING ARTIFICIAL INTELLIGENCE,08.11.2024,202421074951,Published,View
Patents 2024,56,"""Mr. Yogendra Sahu
Ms. Monika Barsagade""",Faculty of Pharmacy,AI-POWERED FORMULATION TOOL FOR OVERCOMING DRUG SOLUBILITY CHALLENGES,08.11.2024,202421074952,Published,View
Patents 2024,57,"""Ms. Paluck Sharma
Ms. Ekta Chandrakar""",Faculty of Law,A SYSTEM FOR DIGITAL REPORTING AND EVIDENCE COLLECTION IN MARITAL RAPE CASES USING BLOCKCHAIN,08.11.2024,202421074943,Published,View
Patents 2024,58,Ms. Khushboo Gupta,Faculty of Pharmacy,TARGETED DRUG DELIVERY DEVICE,04.11.2024,430612-001,Grant Design,View
Patents 2024,59,"""Mr. Birendra Kumar Sahu
Mr. Sachin Pradhan""",Faculty of Pharmacy,A METHOD FOR PREDICTING PATIENT RESPONSE TO MEDICATIONS USING GENETIC DATA,01.11.2024,202421072335,Published,View
Patents 2024,60,"""Ms. Bhuvaneshwari Dewangan
Mr. Lakhan Lal Kashyap""",Faculty of Pharmacy,A METHOD FOR REAL-TIME DRUG DELIVERY IN CHRONIC CONDITIONS,01.11.2024,202421072336,Published,View
Patents 2024,61,"""Dr. Moniza Nurez Khan
Mr. Nitish Kumar""",Faculty of Pharmacy,A METHOD FOR PERSONALIZING DRUG FORMULATIONS USING PHARMACOGENOMIC DATA,01.11.2024,202421072337,Published,View
